free_text,label_id
tôi ước gì cái bức tượng của bác có linh_hồn của bác bác coi các em nhảy mà cứ nhấp nhấp vậy tí nữa bức tượng ướt nhẹp luôn,2.0
bài này không hay,0.0
nhờ thầy đấy thank thầy thầy sena,0.0
biết sao được cán_bộ quần què gì ăn thịt chó thiếu tới gần chục triệu không trả bà bán thịt chó ngày nào cũng quá than riết bà ấy bỏ nghề đi bán thịt heo luôn,1.0
còn thời cưỡi ngựa bắn cung,0.0
lan bánh_bèo chỗ c gần đây không xế,0.0
phạm minh tuấn nghe mà không cảm_nhận nổi,0.0
cho nghỉ học đi mà,0.0
trần mạnh hải do hình có ghi nguồn rồi nên anh không ghi cre nhé chú,0.0
đúng là người bắc kỳ có lý_luận có khác,2.0
miền nam làm gì có lũ_lụt,0.0
hang vu đú trend lâu roài,0.0
lại phải đi à mệt lắm rồi đấy,0.0
lên luôn nào các bạn nhỏ,0.0
mới vào cái cục cứt,2.0
có làm thì mới có_ăn,0.0
sau đó những thằng hàn ngụy sẽ chiếm thêm bang của mỹ mỹ mất thêm bang cho tụi hàn đồng_thời các kênh hương xa sẽ xuất_hiện bằng tiếng hàn để chống_phá triều_tiên ta,0.0
cháu nay học tới lớp mấy rồi về nhà đi học đi lên đây nói lung_tung gì thế,0.0
sống nhanh lên,0.0
bây_giờ kiến_thức càng ngày_càng thay_đổi càng đi lên kiến_thức nền_tảng cũ cũng chỉ phần thôi,0.0
trông thế thôi chứ ông độ khỏe phết đấy anh_em ạ,0.0
có việc chứ victor charlie tuổi lồn bắt tao trong mắt mọi người tao vx là thằng đỏ tao còn đăng trên facebook trôn phổng đạn các thứ nữa ncl tao đang nằm_vùng bên đấy,2.0
fan thầy lắm đấy heo à,0.0
bùng lổ,0.0
trung_văn,0.0
nó bắt mày đi tẩy xăm rồi đi đấy,1.0
ngô hiếu giờ bình_luận ảnh này là bị ban chết me đấy ông ạ,1.0
mis cái thời eat bún riêu burn bef with người anh_em ở phan xích long quá go ai ai lam,0.0
del hiểu sao gần đây liên_tục mà không ai động vào nhỉ có bọn ngu dân cứ bảo trời nóng trong khi trách nghiệm của cục vsatp không ai nói,2.0
tao đang xem cái gì thế này,0.0
trần dần chưa chết hả,0.0
kinh_tế đna nằm trong tay hoa kiều là có thật việt nam cộng hòa cũng từng bị ảnh_hưởng nếu có dịp quá java indonesia đi vòng_vòng mấy khu cao_tầng chung_cư hỏi dân ở đó ai xây đảm_bảo họ sẽ trả_lời là người hoa thái lan y chang mã lai y chang phil thì có_thể là hoa có_thể là mỹ điểm chung là dân bản_xứ hầu_như không có tư_liệu sảng xuất gì toàn bán lề_đường hoặc đi làm_công,0.0
con_trai bố không đi đâu chơi à,0.0
